Gender,Best_event,Max_level,n_dist,S,b,E,CS_ms,CS_kmh,D_prime
Male,10000,Interregional,3,8.164925,0.05942,0.94058,5.113905,18.41006,229.678
Male,1500,Interregional,5,12.501758,0.129921,0.870079,4.828855,17.38388,256.138
Male,400,Regional,3,16.414161,0.213675,0.786325,4.284175,15.42303,171.605
Male,10000,Regional,4,7.952598,0.06738,0.93262,4.664707,16.79294,216.571
Male,1500,Regional,4,11.541874,0.124466,0.875534,4.665207,16.79475,259.529
Female,5000,Interregional,4,8.383124,0.089528,0.910472,4.373603,15.74497,170.349
Male,3000,Regional,3,10.548025,0.116677,0.883323,4.73497,17.04589,177.027
Female,800,National,4,12.281104,0.145197,0.854803,4.529328,16.30558,189.286
Female,1500,National,3,12.672493,0.15495,0.84505,4.200417,15.1215,273.292
Male,5000,Regional,3,7.645797,0.069565,0.930435,4.569588,16.45052,173.586
Female,5000,Interregional,3,6.028067,0.037321,0.962679,4.56622,16.43839,96.295
Male,3000,National,3,14.945975,0.155392,0.844608,4.515642,16.25631,536.411
Female,400,Regional,3,15.684197,0.235633,0.764367,3.369398,12.12983,190.944
Male,3000,Regional,4,9.442793,0.107664,0.892336,4.264276,15.35139,228.039
Male,1500,Regional,3,11.058552,0.119487,0.880513,5.358574,19.29087,92.463
Male,800,Regional,3,15.46309,0.193873,0.806127,4.592346,16.53244,161.581
Male,800,Interregional,4,12.993831,0.135028,0.864972,5.338318,19.21795,156.789
Male,1500,Interregional,3,10.284776,0.098897,0.901103,5.021349,18.07686,198.197
Male,1500,Regional,3,12.514932,0.138557,0.861443,4.771796,17.17846,234.332
Female,400,Regional,3,12.432844,0.181543,0.818457,3.921297,14.11667,141.203
Male,800,Regional,4,12.36246,0.132621,0.867379,4.890149,17.60453,167.467
Male,1500,Regional,3,9.094645,0.100253,0.899747,4.345025,15.64209,196.051
Male,400,Regional,3,13.804926,0.179866,0.820134,4.572297,16.46027,131.153
Female,400,Interregional,3,14.263077,0.182253,0.817747,4.595848,16.54505,144.243
Female,800,National,3,10.803727,0.11749,0.88251,5.162274,18.58419,108.503
Female,1500,Interregional,4,10.150312,0.121808,0.878192,4.462233,16.06404,138.271
Female,3000,Interregional,3,6.668124,0.055322,0.944678,4.362993,15.70677,173.217
Male,400,Regional,3,15.222942,0.190298,0.809702,4.658062,16.76902,154.539
Male,10000,Regional,4,8.633928,0.080463,0.919537,4.612879,16.60636,222.536
Male,800,Regional,3,12.573564,0.161739,0.838261,4.031704,14.51413,251.579
Female,1500,Interregional,3,9.882732,0.114955,0.885045,4.107119,14.78563,337.93
Female,3000,Regional,3,9.744801,0.12283,0.87717,3.759567,13.53444,372.08
Male,400,Regional,3,16.64967,0.214043,0.785957,4.400835,15.84301,164.503
Male,3000,Regional,3,7.492089,0.064028,0.935972,4.614096,16.61074,193.451
Male,400,Regional,3,14.29381,0.168046,0.831954,3.725209,13.41075,389.9
Male,1500,Regional,3,11.445306,0.120455,0.879545,4.989387,17.96179,198.336
Male,1500,Interregional,3,12.392939,0.134385,0.865615,4.894157,17.61897,222.723
Male,1500,Interregional,3,16.089365,0.17333,0.82667,4.816958,17.34105,298.956
Female,1500,Interregional,5,10.216887,0.11953,0.88047,3.964632,14.27268,355.488
Male,800,Interregional,6,12.176075,0.128173,0.871827,4.57507,16.47025,288.84
Male,3000,Regional,4,9.16076,0.101499,0.898501,4.338974,15.62031,213.676
Female,1500,Regional,4,9.84498,0.130493,0.869507,3.957041,14.24535,166.067
Male,1500,Regional,3,11.407025,0.128966,0.871034,4.334533,15.60432,350.391
Male,400,National,3,16.988795,0.190965,0.809035,5.360761,19.29874,148.582
Male,1500,National,4,10.822711,0.096053,0.903947,5.147539,18.53114,280.411
Male,5000,Interregional,4,10.542703,0.095323,0.904677,4.946434,17.80716,333.5
Male,10000,Interregional,3,7.768947,0.050903,0.949097,5.156607,18.56379,240.656
Male,800,Regional,3,11.29172,0.1433,0.8567,4.599725,16.55901,117.909
Male,3000,Interregional,3,9.058804,0.071281,0.928719,5.368689,19.32728,199.249
Male,800,National,4,15.993503,0.165852,0.834148,5.258319,18.92995,214.496
Male,800,Interregional,4,14.70531,0.169608,0.830392,4.653282,16.75182,210.237
Female,3000,Interregional,3,7.604343,0.076109,0.923891,4.250651,15.30234,228.73
Male,800,Interregional,4,16.301633,0.191108,0.808892,4.379098,15.76475,245.676
Male,800,Regional,3,12.584351,0.136747,0.863253,4.569053,16.44859,314.109
Female,1500,National,4,11.692643,0.136071,0.863929,4.592796,16.53406,178.745
Female,3000,Regional,3,8.07056,0.088231,0.911769,4.266971,15.36109,119.261
Male,1500,Interregional,4,11.679407,0.116501,0.883499,5.051639,18.1859,241.85
Male,800,Interregional,4,13.281448,0.150884,0.849116,4.367865,15.72432,255.525
Male,1500,Interregional,5,11.107137,0.104787,0.895213,5.283873,19.02194,179.778
Male,1500,Interregional,3,9.17696,0.082929,0.917071,4.766569,17.15965,305.552
Male,800,Interregional,3,14.819361,0.1664,0.8336,4.665139,16.7945,274.88
Male,5000,Interregional,5,11.234931,0.110035,0.889965,4.551959,16.38705,481.122
Female,1500,National,3,10.749548,0.116178,0.883822,5.303255,19.09172,90.511
Female,3000,Regional,4,9.807552,0.123734,0.876266,4.215439,15.17558,142.958
Male,3000,National,3,10.218958,0.087767,0.912233,5.382969,19.37869,238.511
Male,1500,National,4,11.786728,0.113684,0.886316,5.182497,18.65699,250.132
Male,800,Interregional,3,14.365898,0.161765,0.838235,5.271367,18.97692,142.786
Female,10000,Interregional,3,6.528751,0.050693,0.949307,4.347477,15.65092,191.658
Male,1500,Interregional,4,10.64621,0.102223,0.897777,5.071479,18.25732,225.752
Male,1500,Interregional,6,12.095735,0.127142,0.872858,4.357268,15.68617,404.647
Female,3000,Regional,3,8.914349,0.110284,0.889716,4.201811,15.12652,119.869
Male,5000,Interregional,3,8.687974,0.070757,0.929243,5.190345,18.68524,178.412
Male,400,Regional,3,14.35594,0.177324,0.822676,4.855217,17.47878,133.523
Female,1500,Regional,3,8.062267,0.09024,0.90976,4.528068,16.30104,80.842
Male,800,Regional,3,15.409858,0.192081,0.807919,4.003349,14.41206,228.38
Male,800,Regional,3,14.030957,0.170979,0.829021,4.827946,17.38061,145.07
Male,1500,Regional,3,9.374863,0.08758,0.91242,5.401065,19.44383,84.061
Male,1500,Regional,3,8.524789,0.072258,0.927742,5.14717,18.52981,130.759
Male,1500,Regional,5,9.585998,0.093065,0.906935,4.60779,16.58804,308.033
Female,3000,Regional,3,6.907171,0.092256,0.907744,3.322688,11.96168,290.814
Male,3000,Regional,3,9.358896,0.095914,0.904086,4.840847,17.42705,148.952
Male,800,Interregional,5,12.915447,0.142108,0.857892,4.656939,16.76498,237.445
Female,10000,Interregional,4,8.87629,0.092456,0.907544,4.418856,15.90788,157.779
Male,800,National,3,15.030045,0.160205,0.839795,5.68484,20.46542,134.423
Male,1500,Interregional,4,12.246626,0.124829,0.875171,4.92328,17.72381,281.773
Male,1500,Regional,3,9.973741,0.095908,0.904092,4.918819,17.70775,255.021
Female,1500,Interregional,4,10.700514,0.136147,0.863853,3.802907,13.69047,321.226
Female,1500,National,4,11.444785,0.137414,0.862586,4.4114,15.88104,185.463
Male,5000,Regional,3,8.742032,0.079529,0.920471,4.519947,16.27181,481.883
Female,800,National,3,13.237566,0.16254,0.83746,4.213339,15.16802,266.943
Male,10000,National,3,8.957671,0.059766,0.940234,5.53143,19.91315,350.99
Male,400,Regional,3,13.437319,0.154998,0.845002,4.569501,16.4502,172.745
Male,10000,Regional,3,8.077625,0.079177,0.920823,4.278041,15.40095,298.9
Female,800,National,4,12.22691,0.150836,0.849164,4.323703,15.56533,192.334
Male,400,National,3,22.648868,0.259191,0.740809,4.436435,15.97117,219.85
Male,800,Regional,3,14.554189,0.178172,0.821828,4.223014,15.20285,267.314
Male,800,Regional,3,10.607237,0.109995,0.890005,4.535592,16.32813,249.243
Male,3000,National,3,8.71776,0.055921,0.944079,5.742139,20.6717,187.224
Female,800,Regional,3,12.652634,0.173305,0.826695,4.245886,15.28519,137.694
Male,800,Regional,4,12.081929,0.132435,0.867565,4.981444,17.9332,158.679
Male,5000,Regional,4,9.710818,0.114043,0.885957,4.333538,15.60074,136.503
Male,1500,Regional,3,10.820634,0.116311,0.883689,5.305812,19.10092,94.984
Female,3000,Interregional,4,10.770549,0.136012,0.863988,3.819796,13.75127,329.943
Male,1500,Interregional,3,11.648996,0.118589,0.881411,4.910609,17.67819,241.221
Male,5000,Interregional,4,9.583128,0.086815,0.913185,4.680187,16.84867,461.046
Male,400,Interregional,3,19.483764,0.239645,0.760355,4.444258,15.99933,178.534
Male,1500,Interregional,3,11.0817,0.110921,0.889079,5.620031,20.23211,95.043
Female,800,National,3,15.019436,0.186237,0.813763,4.647957,16.73265,161.951
Male,1500,National,3,12.282157,0.116501,0.883499,5.307318,19.10634,235.962
Female,800,Regional,3,14.165949,0.203533,0.796467,3.775183,13.59066,176.637
Male,10000,International,3,6.839187,0.016631,0.983369,5.988995,21.56038,95.749
Female,5000,Interregional,4,8.349802,0.089527,0.910473,4.363096,15.70715,165.873
Male,1500,Interregional,3,11.126433,0.113176,0.886824,5.082906,18.29846,194.473
Male,3000,Regional,4,7.790391,0.06838,0.93162,4.407309,15.86631,365.32
Female,5000,Regional,3,6.741096,0.083561,0.916439,3.323776,11.96559,387.711
Male,800,Regional,3,13.391602,0.154102,0.845898,4.715251,16.9749,170.766
Male,3000,Regional,5,8.378068,0.071812,0.928188,4.733011,17.03884,260.424
Male,800,Interregional,3,12.823168,0.13514,0.86486,5.678226,20.44161,107.717
Male,800,Regional,4,11.520514,0.126562,0.873438,4.921227,17.71642,153.958
Male,1500,Interregional,3,9.718388,0.088347,0.911653,5.139094,18.50074,174.273
Female,1500,Regional,3,10.276397,0.163663,0.836337,3.608624,12.99105,120.369
Male,800,Interregional,4,13.784789,0.146205,0.853795,4.827524,17.37909,229.924
Male,5000,Regional,3,8.079642,0.077374,0.922626,4.581257,16.49253,179.198
Male,1500,Regional,3,10.512322,0.112486,0.887514,4.563964,16.43027,292.115
Female,10000,National,3,7.865013,0.060927,0.939073,4.886932,17.59296,204.162
Male,1500,Regional,4,11.843077,0.137047,0.862953,4.687346,16.87445,167.936
Male,400,Regional,3,11.771217,0.144258,0.855742,4.257295,15.32626,165.038
Female,3000,National,4,9.263971,0.097281,0.902719,4.531999,16.3152,210.916
Male,1500,Interregional,3,13.377323,0.146414,0.853586,4.868865,17.52791,240.066
Female,800,National,3,13.008199,0.164295,0.835705,4.653914,16.75409,136.386
Male,1500,Regional,3,12.124151,0.149301,0.850699,4.935373,17.76734,101.605
Male,1500,Interregional,4,13.322681,0.138935,0.861065,5.199039,18.71654,187.525
Male,5000,Interregional,3,9.513443,0.087867,0.912133,4.574947,16.46981,557.781
Male,800,Interregional,5,14.945795,0.173425,0.826575,4.165585,14.99611,314.915
Male,1500,Interregional,3,14.58345,0.161916,0.838084,4.708507,16.95063,278.559
Female,800,Interregional,3,13.281004,0.175843,0.824157,4.364063,15.71063,147.825
Female,400,Interregional,3,14.395155,0.194183,0.805817,4.234622,15.24464,155.271
Male,10000,Regional,5,9.067925,0.093944,0.906056,4.410538,15.87794,233.894
Male,1500,Interregional,3,13.260743,0.144663,0.855337,4.476558,16.11561,411.226
Male,800,Regional,4,13.098086,0.153687,0.846313,4.691328,16.88878,172.931
Male,800,Regional,4,12.552875,0.143936,0.856064,4.449971,16.0199,213.041
Male,400,Regional,3,15.917922,0.190785,0.809215,4.372333,15.7404,211.611
Female,800,Regional,3,12.371716,0.169681,0.830319,3.431391,12.35301,322.113
Male,400,Regional,4,13.752202,0.16728,0.83272,4.453986,16.03435,190.266
Male,800,Regional,3,14.922379,0.175006,0.824994,5.093449,18.33642,142.485
Male,1500,National,5,11.286619,0.102218,0.897782,5.036174,18.13023,374.377
Female,800,Interregional,3,15.18675,0.212762,0.787238,3.809837,13.71541,187.192
Female,1500,Regional,3,10.635628,0.144116,0.855884,4.382073,15.77546,99.468
Male,800,Interregional,3,13.59596,0.147642,0.852358,4.963232,17.86763,228.594
Female,800,National,3,21.819525,0.279307,0.720693,3.439975,12.38391,254.03
Male,1500,Regional,3,10.908403,0.11348,0.88652,4.990822,17.96696,186.023
Female,3000,Regional,3,8.840452,0.128276,0.871724,3.549902,12.77965,187.422
Male,10000,Interregional,3,7.807462,0.06018,0.93982,4.811934,17.32296,263.044
Female,400,Interregional,3,14.350709,0.187838,0.812162,4.421706,15.91814,151.258
Male,1500,National,6,11.207073,0.098542,0.901458,5.348228,19.25362,228.896
Female,1500,Regional,3,8.482467,0.097402,0.902598,4.142973,14.9147,205.891
Male,3000,Interregional,5,11.54686,0.11362,0.88638,5.21169,18.76209,178.361
Female,400,Interregional,3,17.222618,0.226049,0.773951,4.056843,14.60463,192.46
Male,800,Regional,3,13.374896,0.159851,0.840149,4.457994,16.04878,233.652
Male,1500,Regional,4,9.095181,0.085914,0.914086,5.033097,18.11915,122.623
Male,400,Regional,4,15.539308,0.1947,0.8053,4.115995,14.81758,224.117
Female,3000,Regional,3,7.457266,0.110856,0.889144,3.345085,12.04231,171.239
Male,3000,Regional,3,9.176803,0.089763,0.910237,4.682708,16.85775,258.003
Male,10000,Interregional,5,8.383196,0.068639,0.931361,4.914075,17.69067,220.8
Male,5000,International,4,11.022096,0.082914,0.917086,5.805323,20.89916,276.019
Male,10000,Regional,3,6.065822,0.042556,0.957444,4.287517,15.43506,174.66
Male,800,Regional,3,11.520527,0.143385,0.856615,4.594027,16.5385,134.635
Female,1500,Interregional,3,9.565399,0.107634,0.892366,4.321019,15.55567,212.704
Male,800,Regional,3,13.983657,0.175233,0.824767,4.126204,14.85433,204.474
Female,400,Regional,4,9.655474,0.154552,0.845448,3.262812,11.74612,169.731
Male,1500,National,3,13.555113,0.126908,0.873092,5.017415,18.06269,330.851
Female,800,National,4,11.74128,0.141246,0.858754,4.543511,16.35664,159.7
Male,3000,Regional,3,8.755947,0.095797,0.904203,4.222645,15.20152,279.968
Female,1500,Regional,3,9.121322,0.121433,0.878567,3.951312,14.22472,133.81
Male,800,Interregional,3,16.229424,0.185012,0.814988,5.179719,18.64699,158.333
Female,5000,National,3,8.732742,0.088572,0.911428,4.562906,16.42646,174.391
Female,1500,Regional,3,10.123085,0.136259,0.863741,3.834284,13.80342,218.945
Male,400,Regional,3,12.631519,0.166872,0.833128,4.258281,15.32981,116.292
Male,3000,Regional,3,9.173142,0.093351,0.906649,4.798621,17.27504,153.578
Male,3000,Regional,3,10.36225,0.110537,0.889463,4.88031,17.56912,163.306
Male,400,Interregional,3,18.610429,0.235206,0.764794,4.63076,16.67074,133.748
Male,800,Interregional,3,15.108217,0.167461,0.832539,4.863038,17.50694,190.125
Male,800,Regional,3,13.031002,0.145627,0.854373,5.35572,19.28059,118.85
Male,1500,National,5,11.126879,0.098999,0.901001,5.140552,18.50599,337.983
Male,400,Regional,3,14.787392,0.202719,0.797281,3.587503,12.91501,213.84
